flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
30914,13762,7,140,2,0,0,0,-0.7441085577011108,5.46875,5.5078125,-0.6744897365570068,0.069618821144104
30915,13763,7,140,3,1,1,0,0.610140860080719,5.46875,5.5078125,0.6744897365570068,0.06434887647628784
30916,13764,7,140,4,1,1,0,0.7686063051223755,5.46875,5.5078125,0.6744897365570068,0.09411656856536865
30917,13765,7,140,5,0,0,0,-0.8025813698768616,5.46875,5.5078125,-0.6744897365570068,0.12809163331985474
30918,13766,7,140,6,0,0,0,-0.46269547939300537,5.46875,5.5078125,-0.6744897365570068,0.21179425716400146
30919,13767,7,140,7,1,1,0,0.7496126294136047,5.46875,5.5078125,0.6744897365570068,0.0751228928565979
30920,13768,7,140,8,0,0,0,-0.9999279975891113,5.46875,5.5078125,-0.6744897365570068,0.3254382610321045
30921,13769,7,140,9,1,1,0,0.6910941004753113,5.46875,5.5078125,0.6744897365570068,0.016604363918304443
30922,13770,7,140,10,0,0,0,-0.7222005724906921,5.46875,5.5078125,-0.6744897365570068,0.0477108359336853
30923,13771,7,140,11,1,1,0,1.0694974660873413,5.46875,5.5078125,0.6744897365570068,0.3950077295303345
30924,13772,7,140,12,1,1,0,0.9040988683700562,5.46875,5.5078125,0.6744897365570068,0.22960913181304932
30925,13773,7,140,13,1,1,0,1.136220097541809,5.46875,5.5078125,0.6744897365570068,0.46173036098480225
30926,13774,7,140,14,0,1,1,0.02950604073703289,5.46875,5.5078125,-0.6744897365570068,0.7039957772940397
30927,13775,7,140,15,1,1,0,0.8703233003616333,5.46875,5.5078125,0.6744897365570068,0.19583356380462646
30928,13776,7,141,0,1,1,0,0.3322203755378723,5.5078125,5.546875,0.6744897365570068,0.3422693610191345
30929,13777,7,141,1,0,0,0,-0.6135835647583008,5.5078125,5.546875,-0.6744897365570068,0.060906171798706055
30930,13778,7,141,2,1,1,0,0.1208188608288765,5.5078125,5.546875,0.6744897365570068,0.5536708757281303
30931,13779,7,141,3,1,1,0,0.7143645286560059,5.5078125,5.546875,0.6744897365570068,0.03987479209899902
