flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,time_sec_start,time_sec_end,embedded_z,abs_z_diff
18048,4544,4,104,0,1,0,1,-0.09163681417703629,4.0625,4.1015625,0.6744897365570068,0.7661265507340431
18051,4547,4,104,3,1,0,1,-0.37724003195762634,4.0625,4.1015625,0.6744897365570068,1.0517297685146332
18052,4548,4,104,4,1,0,1,-0.032988402992486954,4.0625,4.1015625,0.6744897365570068,0.7074781395494938
18056,4552,4,104,8,1,0,1,-0.275796502828598,4.0625,4.1015625,0.6744897365570068,0.9502862393856049
18067,4563,4,105,3,1,0,1,-0.06859048455953598,4.1015625,4.140625,0.6744897365570068,0.7430802211165428
18070,4566,4,105,6,1,0,1,-0.3070407509803772,4.1015625,4.140625,0.6744897365570068,0.981530487537384
18079,4575,4,105,15,0,1,1,0.02123665250837803,4.1015625,4.140625,-0.6744897365570068,0.6957263890653849
18081,4577,4,106,1,1,0,1,-0.020363274961709976,4.140625,4.1796875,0.6744897365570068,0.6948530115187168
18083,4579,4,106,3,1,0,1,-0.36774373054504395,4.140625,4.1796875,0.6744897365570068,1.0422334671020508
18111,4607,4,107,15,0,1,1,0.041433922946453094,4.1796875,4.21875,-0.6744897365570068,0.7159236595034599
18130,4626,4,109,2,1,0,1,-0.3331424295902252,4.2578125,4.296875,0.6744897365570068,1.007632166147232
18131,4627,4,109,3,1,0,1,-0.02621285431087017,4.2578125,4.296875,0.6744897365570068,0.700702590867877
18161,4657,4,111,1,1,0,1,-0.49277666211128235,4.3359375,4.375,0.6744897365570068,1.1672663986682892
18162,4658,4,111,2,1,0,1,-0.37963083386421204,4.3359375,4.375,0.6744897365570068,1.0541205704212189
18177,4673,4,112,1,1,0,1,-0.35145121812820435,4.375,4.4140625,0.6744897365570068,1.0259409546852112
18178,4674,4,112,2,1,0,1,-0.6977558135986328,4.375,4.4140625,0.6744897365570068,1.3722455501556396
18208,4704,4,114,0,0,1,1,0.016501812264323235,4.453125,4.4921875,-0.6744897365570068,0.6909915488213301
18259,4755,4,117,3,1,0,1,-0.4426843822002411,4.5703125,4.609375,0.6744897365570068,1.117174118757248
18268,4764,4,117,12,1,0,1,-0.10329560935497284,4.5703125,4.609375,0.6744897365570068,0.7777853459119797
18274,4770,4,118,2,1,0,1,-0.28929027915000916,4.609375,4.6484375,0.6744897365570068,0.963780015707016
18276,4772,4,118,4,1,0,1,-0.18908916413784027,4.609375,4.6484375,0.6744897365570068,0.8635789006948471
18282,4778,4,118,10,1,0,1,-0.012761235237121582,4.609375,4.6484375,0.6744897365570068,0.6872509717941284
18289,4785,4,119,1,1,0,1,-0.0018523496109992266,4.6484375,4.6875,0.6744897365570068,0.6763420861680061
18290,4786,4,119,2,1,0,1,-0.09980563074350357,4.6484375,4.6875,0.6744897365570068,0.7742953673005104
18296,4792,4,119,8,1,0,1,-0.06951203942298889,4.6484375,4.6875,0.6744897365570068,0.7440017759799957
