channel,time_start,time_end,freq_start,freq_end,total,errors,ber
5,224,240,4,8,64,29,0.453125
0,176,192,12,16,64,28,0.4375
1,0,16,12,16,64,28,0.4375
1,112,128,12,16,64,28,0.4375
1,208,224,4,8,64,28,0.4375
2,32,48,12,16,64,28,0.4375
2,64,80,4,8,64,28,0.4375
2,96,112,8,12,64,28,0.4375
2,176,192,8,12,64,28,0.4375
2,240,256,12,16,64,28,0.4375
4,192,208,0,4,64,28,0.4375
4,224,240,0,4,64,28,0.4375
4,224,240,8,12,64,28,0.4375
5,208,224,8,12,64,28,0.4375
7,240,256,8,12,64,28,0.4375
1,64,80,4,8,64,27,0.421875
1,224,240,0,4,64,27,0.421875
1,224,240,12,16,64,27,0.421875
1,240,256,12,16,64,27,0.421875
2,16,32,0,4,64,27,0.421875
2,16,32,12,16,64,27,0.421875
2,32,48,8,12,64,27,0.421875
2,96,112,4,8,64,27,0.421875
2,192,208,12,16,64,27,0.421875
2,208,224,0,4,64,27,0.421875
3,208,224,4,8,64,27,0.421875
3,224,240,0,4,64,27,0.421875
5,224,240,0,4,64,27,0.421875
6,192,208,12,16,64,27,0.421875
6,208,224,0,4,64,27,0.421875
6,208,224,8,12,64,27,0.421875
6,224,240,0,4,64,27,0.421875
7,208,224,0,4,64,27,0.421875
7,224,240,4,8,64,27,0.421875
0,192,208,4,8,64,26,0.40625
0,208,224,8,12,64,26,0.40625
1,80,96,8,12,64,26,0.40625
1,112,128,8,12,64,26,0.40625
1,160,176,4,8,64,26,0.40625
1,160,176,12,16,64,26,0.40625
1,176,192,4,8,64,26,0.40625
2,0,16,8,12,64,26,0.40625
2,48,64,0,4,64,26,0.40625
2,48,64,4,8,64,26,0.40625
2,96,112,12,16,64,26,0.40625
2,128,144,8,12,64,26,0.40625
2,160,176,4,8,64,26,0.40625
2,176,192,12,16,64,26,0.40625
4,192,208,8,12,64,26,0.40625
4,224,240,12,16,64,26,0.40625
5,240,256,12,16,64,26,0.40625
6,240,256,4,8,64,26,0.40625
7,192,208,0,4,64,26,0.40625
7,208,224,12,16,64,26,0.40625
7,224,240,0,4,64,26,0.40625
1,96,112,4,8,64,25,0.390625
1,96,112,8,12,64,25,0.390625
1,112,128,4,8,64,25,0.390625
1,144,160,12,16,64,25,0.390625
1,160,176,0,4,64,25,0.390625
1,208,224,8,12,64,25,0.390625
2,48,64,8,12,64,25,0.390625
2,48,64,12,16,64,25,0.390625
2,64,80,0,4,64,25,0.390625
2,112,128,8,12,64,25,0.390625
4,208,224,0,4,64,25,0.390625
5,192,208,4,8,64,25,0.390625
5,208,224,12,16,64,25,0.390625
5,240,256,4,8,64,25,0.390625
7,192,208,4,8,64,25,0.390625
0,240,256,12,16,64,24,0.375
1,48,64,0,4,64,24,0.375
1,128,144,8,12,64,24,0.375
2,0,16,12,16,64,24,0.375
2,96,112,0,4,64,24,0.375
2,128,144,0,4,64,24,0.375
2,144,160,12,16,64,24,0.375
3,192,208,8,12,64,24,0.375
5,192,208,8,12,64,24,0.375
7,240,256,12,16,64,24,0.375
0,64,80,8,12,64,23,0.359375
0,112,128,12,16,64,23,0.359375
1,64,80,8,12,64,23,0.359375
1,160,176,8,12,64,23,0.359375
1,224,240,8,12,64,23,0.359375
2,80,96,12,16,64,23,0.359375
2,176,192,0,4,64,23,0.359375
3,208,224,0,4,64,23,0.359375
7,192,208,12,16,64,23,0.359375
0,176,192,8,12,64,22,0.34375
1,16,32,8,12,64,22,0.34375
1,32,48,8,12,64,22,0.34375
2,80,96,4,8,64,22,0.34375
2,80,96,8,12,64,22,0.34375
2,160,176,0,4,64,22,0.34375
2,240,256,0,4,64,22,0.34375
4,192,208,12,16,64,22,0.34375
1,32,48,4,8,64,21,0.328125
2,32,48,4,8,64,21,0.328125
2,128,144,4,8,64,21,0.328125
4,192,208,4,8,64,21,0.328125
4,208,224,12,16,64,21,0.328125
5,192,208,0,4,64,21,0.328125
5,192,208,12,16,64,21,0.328125
0,64,80,12,16,64,20,0.3125
3,192,208,12,16,64,20,0.3125
6,192,208,0,4,64,20,0.3125
0,80,96,8,12,64,19,0.296875
1,16,32,4,8,64,19,0.296875
1,112,128,0,4,64,19,0.296875
1,128,144,4,8,64,19,0.296875
2,32,48,0,4,64,19,0.296875
2,80,96,0,4,64,19,0.296875
3,32,48,0,4,64,19,0.296875
3,192,208,0,4,64,19,0.296875
3,224,240,8,12,64,19,0.296875
6,192,208,8,12,64,19,0.296875
0,64,80,4,8,64,18,0.28125
0,160,176,12,16,64,18,0.28125
2,0,16,0,4,64,18,0.28125
3,192,208,4,8,64,18,0.28125
6,192,208,4,8,64,18,0.28125
0,96,112,12,16,64,17,0.265625
1,16,32,0,4,64,17,0.265625
1,16,32,12,16,64,17,0.265625
1,64,80,0,4,64,17,0.265625
1,80,96,0,4,64,17,0.265625
4,160,176,0,4,64,17,0.265625
5,16,32,0,4,64,17,0.265625
6,16,32,4,8,64,17,0.265625
7,192,208,8,12,64,17,0.265625
0,32,48,12,16,64,16,0.25
0,112,128,4,8,64,16,0.25
1,80,96,4,8,64,16,0.25
1,96,112,0,4,64,16,0.25
1,96,112,12,16,64,16,0.25
1,128,144,0,4,64,16,0.25
2,176,192,4,8,64,16,0.25
3,160,176,0,4,64,16,0.25
0,48,64,12,16,64,15,0.234375
0,144,160,4,8,64,15,0.234375
0,160,176,4,8,64,15,0.234375
5,0,16,0,4,64,15,0.234375
5,80,96,0,4,64,15,0.234375
7,96,112,0,4,64,15,0.234375
0,32,48,4,8,64,14,0.21875
0,80,96,12,16,64,14,0.21875
0,128,144,12,16,64,14,0.21875
3,96,112,0,4,64,14,0.21875
4,128,144,0,4,64,14,0.21875
5,96,112,0,4,64,14,0.21875
6,48,64,0,4,64,14,0.21875
7,160,176,0,4,64,14,0.21875
0,48,64,8,12,64,13,0.203125
0,80,96,4,8,64,13,0.203125
0,96,112,4,8,64,13,0.203125
0,128,144,4,8,64,13,0.203125
0,144,160,12,16,64,13,0.203125
1,0,16,0,4,64,13,0.203125
3,80,96,0,4,64,13,0.203125
3,112,128,0,4,64,13,0.203125
4,80,96,8,12,64,13,0.203125
5,112,128,4,8,64,13,0.203125
