flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
2889,0,180,9,1,0,1,-0.4321913719177246,0.6744897365570068,1.1066811084747314
2891,0,180,11,1,0,1,-0.0880625769495964,0.6744897365570068,0.7625523135066032
2892,0,180,12,1,0,1,-0.27948707342147827,0.6744897365570068,0.9539768099784851
2899,0,181,3,1,0,1,-0.21909205615520477,0.6744897365570068,0.8935817927122116
2907,0,181,11,1,0,1,-0.21770477294921875,0.6744897365570068,0.8921945095062256
2912,0,182,0,1,0,1,-0.016425706446170807,0.6744897365570068,0.6909154430031776
2934,0,183,6,1,0,1,-0.005470886826515198,0.6744897365570068,0.679960623383522
2936,0,183,8,1,0,1,-0.02219449169933796,0.6744897365570068,0.6966842282563448
2939,0,183,11,1,0,1,-0.049420636147260666,0.6744897365570068,0.7239103727042675
2941,0,183,13,1,0,1,-0.2743293046951294,0.6744897365570068,0.9488190412521362
2944,0,184,0,1,0,1,-0.12136627733707428,0.6744897365570068,0.7958560138940811
2950,0,184,6,1,0,1,-0.3847538232803345,0.6744897365570068,1.0592435598373413
2954,0,184,10,1,0,1,-0.3944278955459595,0.6744897365570068,1.0689176321029663
2957,0,184,13,1,0,1,-0.48588475584983826,0.6744897365570068,1.160374492406845
2958,0,184,14,1,0,1,-0.697003185749054,0.6744897365570068,1.3714929223060608
2959,0,184,15,1,0,1,-0.1385030299425125,0.6744897365570068,0.8129927664995193
2968,0,185,8,1,0,1,-0.42577677965164185,0.6744897365570068,1.1002665162086487
2974,0,185,14,1,0,1,-0.05727905407547951,0.6744897365570068,0.7317687906324863
2984,0,186,8,1,0,1,-0.02345566637814045,0.6744897365570068,0.6979454029351473
2986,0,186,10,1,0,1,-0.16003866493701935,0.6744897365570068,0.8345284014940262
2988,0,186,12,1,0,1,-0.11416453868150711,0.6744897365570068,0.788654275238514
2992,0,187,0,1,0,1,-0.26236554980278015,0.6744897365570068,0.936855286359787
3002,0,187,10,1,0,1,-0.44387680292129517,0.6744897365570068,1.118366539478302
3004,0,187,12,1,0,1,-0.29666513204574585,0.6744897365570068,0.9711548686027527
3007,0,187,15,1,0,1,-0.3955303430557251,0.6744897365570068,1.070020079612732
3015,0,188,7,1,0,1,-0.08438342809677124,0.6744897365570068,0.7588731646537781
3016,0,188,8,1,0,1,-0.1371222585439682,0.6744897365570068,0.811611995100975
3017,0,188,9,1,0,1,-0.16059531271457672,0.6744897365570068,0.8350850492715836
3020,0,188,12,1,0,1,-0.2212708443403244,0.6744897365570068,0.8957605808973312
3023,0,188,15,1,0,1,-0.5354858636856079,0.6744897365570068,1.2099756002426147
3036,0,189,12,1,0,1,-0.37837836146354675,0.6744897365570068,1.0528680980205536
3039,0,189,15,1,0,1,-0.39331674575805664,0.6744897365570068,1.0678064823150635
3040,0,190,0,1,0,1,-0.25701645016670227,0.6744897365570068,0.9315061867237091
3047,0,190,7,1,0,1,-0.21308735013008118,0.6744897365570068,0.887577086687088
3050,0,190,10,1,0,1,-0.31454554200172424,0.6744897365570068,0.9890352785587311
3051,0,190,11,1,0,1,-0.08592510223388672,0.6744897365570068,0.7604148387908936
3052,0,190,12,1,0,1,-0.6101995706558228,0.6744897365570068,1.2846893072128296
3053,0,190,13,1,0,1,-0.06827736645936966,0.6744897365570068,0.7427671030163765
3054,0,190,14,1,0,1,-0.33838608860969543,0.6744897365570068,1.0128758251667023
3055,0,190,15,1,0,1,-0.30701765418052673,0.6744897365570068,0.9815073907375336
3063,0,191,7,1,0,1,-0.15088318288326263,0.6744897365570068,0.8253729194402695
3064,0,191,8,1,0,1,-0.10949166864156723,0.6744897365570068,0.7839814051985741
3065,0,191,9,1,0,1,-0.38316214084625244,0.6744897365570068,1.0576518774032593
3066,0,191,10,1,0,1,-0.3127494752407074,0.6744897365570068,0.9872392117977142
3069,0,191,13,1,0,1,-0.6310654878616333,0.6744897365570068,1.3055552244186401
3070,0,191,14,1,0,1,-0.2750534117221832,0.6744897365570068,0.9495431482791901
3080,0,192,8,1,0,1,-0.12386905401945114,0.6744897365570068,0.798358790576458
3085,0,192,13,1,0,1,-0.44570767879486084,0.6744897365570068,1.1201974153518677
3086,0,192,14,1,0,1,-0.059201259166002274,0.6744897365570068,0.7336909957230091
3088,0,193,0,1,0,1,-0.36735180020332336,0.6744897365570068,1.0418415367603302
3089,0,193,1,1,0,1,-0.08971297740936279,0.6744897365570068,0.7642027139663696
3096,0,193,8,1,0,1,-0.1860862523317337,0.6744897365570068,0.8605759888887405
3097,0,193,9,1,0,1,-0.2784237861633301,0.6744897365570068,0.9529135227203369
3099,0,193,11,1,0,1,-0.43662938475608826,0.6744897365570068,1.111119121313095
3110,0,194,6,1,0,1,-0.2184397280216217,0.6744897365570068,0.8929294645786285
3112,0,194,8,1,0,1,-0.034280020743608475,0.6744897365570068,0.7087697573006153
3113,0,194,9,1,0,1,-0.45159387588500977,0.6744897365570068,1.1260836124420166
3115,0,194,11,1,0,1,-0.67730712890625,0.6744897365570068,1.3517968654632568
3116,0,194,12,1,0,1,-0.4654015600681305,0.6744897365570068,1.1398912966251373
3117,0,194,13,1,0,1,-0.1924377977848053,0.6744897365570068,0.8669275343418121
3123,0,195,3,1,0,1,-0.6088362336158752,0.6744897365570068,1.283325970172882
