flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
108,0,6,12,1,1,0,0.11707936972379684,0.6744897365570068,0.55741036683321
109,0,6,13,0,0,0,-0.8601905703544617,-0.6744897365570068,0.18570083379745483
110,0,6,14,1,1,0,0.46659207344055176,0.6744897365570068,0.20789766311645508
111,0,6,15,0,0,0,-0.31460317969322205,-0.6744897365570068,0.3598865568637848
112,0,7,0,1,0,1,-0.30753082036972046,0.6744897365570068,0.9820205569267273
113,0,7,1,1,1,0,0.9947664141654968,0.6744897365570068,0.32027667760849
114,0,7,2,0,0,0,-0.9446597099304199,-0.6744897365570068,0.2701699733734131
115,0,7,3,0,0,0,-0.983870267868042,-0.6744897365570068,0.30938053131103516
116,0,7,4,0,0,0,-0.26667094230651855,-0.6744897365570068,0.4078187942504883
117,0,7,5,0,0,0,-1.366349697113037,-0.6744897365570068,0.6918599605560303
118,0,7,6,0,0,0,-1.1948539018630981,-0.6744897365570068,0.5203641653060913
119,0,7,7,0,0,0,-1.589257836341858,-0.6744897365570068,0.9147680997848511
120,0,7,8,0,0,0,-1.170027256011963,-0.6744897365570068,0.49553751945495605
121,0,7,9,0,0,0,-1.4847315549850464,-0.6744897365570068,0.8102418184280396
122,0,7,10,0,0,0,-1.2483450174331665,-0.6744897365570068,0.5738552808761597
123,0,7,11,1,1,0,0.08461935818195343,0.6744897365570068,0.5898703783750534
124,0,7,12,1,1,0,0.0045641460455954075,0.6744897365570068,0.6699255905114114
125,0,7,13,1,1,0,0.02593996189534664,0.6744897365570068,0.6485497746616602
126,0,7,14,1,1,0,0.15307211875915527,0.6744897365570068,0.5214176177978516
127,0,7,15,1,1,0,1.0650725364685059,0.6744897365570068,0.390582799911499
128,0,8,0,0,0,0,-0.4934539794921875,-0.6744897365570068,0.18103575706481934
129,0,8,1,0,1,1,0.07513880729675293,-0.6744897365570068,0.7496285438537598
130,0,8,2,1,1,0,1.262337565422058,0.6744897365570068,0.5878478288650513
131,0,8,3,0,0,0,-0.8088182210922241,-0.6744897365570068,0.13432848453521729
132,0,8,4,1,1,0,1.5204026699066162,0.6744897365570068,0.8459129333496094
133,0,8,5,1,1,0,0.8601061701774597,0.6744897365570068,0.18561643362045288
134,0,8,6,1,1,0,0.12702198326587677,0.6744897365570068,0.5474677532911301
135,0,8,7,1,1,0,0.6176625490188599,0.6744897365570068,0.05682718753814697
136,0,8,8,1,1,0,0.4186255931854248,0.6744897365570068,0.25586414337158203
137,0,8,9,1,1,0,0.19078929722309113,0.6744897365570068,0.4837004393339157
138,0,8,10,0,0,0,-0.35713818669319153,-0.6744897365570068,0.3173515498638153
139,0,8,11,1,1,0,0.36096110939979553,0.6744897365570068,0.3135286271572113
140,0,8,12,1,1,0,0.3171815276145935,0.6744897365570068,0.35730820894241333
