flat_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
36,0,2,4,0,0,0,-0.4557698965072632,-0.6744897365570068,0.21871984004974365
37,0,2,5,0,0,0,-1.0028542280197144,-0.6744897365570068,0.3283644914627075
38,0,2,6,0,0,0,-0.5922909379005432,-0.6744897365570068,0.08219879865646362
39,0,2,7,1,1,0,0.3485102653503418,0.6744897365570068,0.32597947120666504
40,0,2,8,1,1,0,0.45318666100502014,0.6744897365570068,0.2213030755519867
41,0,2,9,0,0,0,-0.8008837103843689,-0.6744897365570068,0.12639397382736206
42,0,2,10,0,0,0,-0.8482190370559692,-0.6744897365570068,0.1737293004989624
43,0,2,11,1,1,0,0.33987122774124146,0.6744897365570068,0.3346185088157654
44,0,2,12,1,1,0,0.4524875581264496,0.6744897365570068,0.22200217843055725
45,0,2,13,1,1,0,0.5032446980476379,0.6744897365570068,0.1712450385093689
46,0,2,14,0,0,0,-0.5340077877044678,-0.6744897365570068,0.14048194885253906
47,0,2,15,0,0,0,-0.5727622509002686,-0.6744897365570068,0.10172748565673828
48,0,3,0,0,0,0,-0.7031742334365845,-0.6744897365570068,0.028684496879577637
49,0,3,1,0,0,0,-0.1618586629629135,-0.6744897365570068,0.5126310735940933
50,0,3,2,1,1,0,0.22275163233280182,0.6744897365570068,0.451738104224205
51,0,3,3,0,0,0,-1.1882870197296143,-0.6744897365570068,0.5137972831726074
52,0,3,4,0,0,0,-1.1666796207427979,-0.6744897365570068,0.492189884185791
53,0,3,5,1,0,1,-0.3791807293891907,0.6744897365570068,1.0536704659461975
54,0,3,6,1,0,1,-0.20585624873638153,0.6744897365570068,0.8803459852933884
55,0,3,7,0,0,0,-1.1224168539047241,-0.6744897365570068,0.4479271173477173
56,0,3,8,0,0,0,-0.7679518461227417,-0.6744897365570068,0.09346210956573486
57,0,3,9,0,0,0,-0.9196760058403015,-0.6744897365570068,0.24518626928329468
58,0,3,10,1,1,0,0.3077009618282318,0.6744897365570068,0.366788774728775
59,0,3,11,1,1,0,0.40122953057289124,0.6744897365570068,0.2732602059841156
60,0,3,12,1,1,0,0.2960878312587738,0.6744897365570068,0.37840190529823303
61,0,3,13,0,0,0,-0.7571676969528198,-0.6744897365570068,0.08267796039581299
62,0,3,14,0,0,0,-0.9436866641044617,-0.6744897365570068,0.26919692754745483
63,0,3,15,0,0,0,-0.73771733045578,-0.6744897365570068,0.0632275938987732
64,0,4,0,1,0,1,-0.4428047835826874,0.6744897365570068,1.1172945201396942
65,0,4,1,1,1,0,1.3117997646331787,0.6744897365570068,0.6373100280761719
66,0,4,2,0,0,0,-1.000697135925293,-0.6744897365570068,0.32620739936828613
67,0,4,3,1,1,0,0.568597137928009,0.6744897365570068,0.1058925986289978
68,0,4,4,0,0,0,-1.3321566581726074,-0.6744897365570068,0.6576669216156006
69,0,4,5,1,1,0,0.12292317301034927,0.6744897365570068,0.5515665635466576
70,0,4,6,0,0,0,-1.4204692840576172,-0.6744897365570068,0.7459795475006104
71,0,4,7,1,0,1,-0.387887179851532,0.6744897365570068,1.0623769164085388
72,0,4,8,1,1,0,0.1995764672756195,0.6744897365570068,0.47491326928138733
73,0,4,9,1,1,0,0.36304640769958496,0.6744897365570068,0.3114433288574219
74,0,4,10,0,0,0,-0.8815651535987854,-0.6744897365570068,0.20707541704177856
