flat_index,message_index,channel,time,freq,embedded_bit,decoded_bit,error,recovered_z,embedded_z,abs_z_diff
20261,7973,4,242,5,1,0,1,-0.20579101145267487,0.6744897365570068,0.8802807480096817
20262,7974,4,242,6,1,0,1,-0.21234042942523956,0.6744897365570068,0.8868301659822464
20263,7975,4,242,7,1,1,0,0.8781490921974182,0.6744897365570068,0.20365935564041138
20264,7976,4,242,8,1,0,1,-0.9475550055503845,0.6744897365570068,1.6220447421073914
20265,7977,4,242,9,1,0,1,-0.014501329511404037,0.6744897365570068,0.6889910660684109
20266,7978,4,242,10,0,0,0,-0.13200363516807556,-0.6744897365570068,0.5424861013889313
20267,7979,4,242,11,0,0,0,-0.3336523473262787,-0.6744897365570068,0.34083738923072815
20268,7980,4,242,12,1,0,1,-0.5049545764923096,0.6744897365570068,1.1794443130493164
20269,7981,4,242,13,1,0,1,-1.1071174144744873,0.6744897365570068,1.7816071510314941
20270,7982,4,242,14,1,1,0,0.01659531332552433,0.6744897365570068,0.6578944232314825
20271,7983,4,242,15,0,0,0,-0.3535114824771881,-0.6744897365570068,0.3209782540798187
20272,7984,4,243,0,0,1,1,0.22570887207984924,-0.6744897365570068,0.9001986086368561
20273,7985,4,243,1,1,0,1,-0.23638102412223816,0.6744897365570068,0.910870760679245
20274,7986,4,243,2,1,1,0,0.19115270674228668,0.6744897365570068,0.48333702981472015
20275,7987,4,243,3,0,0,0,-0.9057057499885559,-0.6744897365570068,0.23121601343154907
20276,7988,4,243,4,0,0,0,-0.22131216526031494,-0.6744897365570068,0.4531775712966919
20277,7989,4,243,5,0,1,1,0.2826313078403473,-0.6744897365570068,0.9571210443973541
20278,7990,4,243,6,0,0,0,-0.5308303833007812,-0.6744897365570068,0.14365935325622559
20279,7991,4,243,7,0,0,0,-0.07915607839822769,-0.6744897365570068,0.5953336581587791
20280,7992,4,243,8,0,1,1,0.08452041447162628,-0.6744897365570068,0.7590101510286331
20281,7993,4,243,9,1,1,0,0.3267332911491394,0.6744897365570068,0.34775644540786743
20282,7994,4,243,10,0,0,0,-0.37907201051712036,-0.6744897365570068,0.2954177260398865
20283,7995,4,243,11,0,0,0,-0.31398671865463257,-0.6744897365570068,0.36050301790237427
20284,7996,4,243,12,1,1,0,0.19561247527599335,0.6744897365570068,0.4788772612810135
20285,7997,4,243,13,0,0,0,-0.32548078894615173,-0.6744897365570068,0.3490089476108551
20286,7998,4,243,14,0,0,0,-0.7816562056541443,-0.6744897365570068,0.10716646909713745
20287,7999,4,243,15,0,1,1,0.5000642538070679,-0.6744897365570068,1.1745539903640747
20288,8000,4,244,0,1,1,0,0.4155503809452057,0.6744897365570068,0.25893935561180115
20289,8001,4,244,1,0,1,1,0.14039044082164764,-0.6744897365570068,0.8148801773786545
20290,8002,4,244,2,0,0,0,-1.0870800018310547,-0.6744897365570068,0.41259026527404785
20291,8003,4,244,3,1,1,0,0.14145591855049133,0.6744897365570068,0.5330338180065155
20292,8004,4,244,4,0,1,1,0.6220046281814575,-0.6744897365570068,1.2964943647384644
20293,8005,4,244,5,1,0,1,-0.0783798024058342,0.6744897365570068,0.752869538962841
20294,8006,4,244,6,1,1,0,0.8005955815315247,0.6744897365570068,0.12610584497451782
20295,8007,4,244,7,0,1,1,0.3843667805194855,-0.6744897365570068,1.0588565170764923
20296,8008,4,244,8,1,0,1,-0.03192292898893356,0.6744897365570068,0.7064126655459404
20297,8009,4,244,9,0,1,1,0.5390737056732178,-0.6744897365570068,1.2135634422302246
20298,8010,4,244,10,1,0,1,-1.2280857563018799,0.6744897365570068,1.9025754928588867
20299,8011,4,244,11,1,0,1,-0.0690058022737503,0.6744897365570068,0.7434955388307571
20300,8012,4,244,12,1,1,0,0.007954095490276814,0.6744897365570068,0.66653564106673
20301,8013,4,244,13,0,1,1,0.0840572640299797,-0.6744897365570068,0.7585470005869865
20302,8014,4,244,14,1,0,1,-0.14662019908428192,0.6744897365570068,0.8211099356412888
20303,8015,4,244,15,0,0,0,-1.1719200611114502,-0.6744897365570068,0.49743032455444336
20304,8016,4,245,0,1,1,0,0.35454651713371277,0.6744897365570068,0.31994321942329407
20305,8017,4,245,1,1,1,0,0.2135515958070755,0.6744897365570068,0.46093814074993134
20306,8018,4,245,2,0,0,0,-0.29766538739204407,-0.6744897365570068,0.37682434916496277
20307,8019,4,245,3,0,0,0,-0.7816040515899658,-0.6744897365570068,0.10711431503295898
20308,8020,4,245,4,1,0,1,-0.6567586660385132,0.6744897365570068,1.33124840259552
20309,8021,4,245,5,0,0,0,-1.1444873809814453,-0.6744897365570068,0.4699976444244385
20310,8022,4,245,6,0,1,1,0.1556789129972458,-0.6744897365570068,0.8301686495542526
