channel,time_start,time_end,freq_start,freq_end,total,errors,ber
3,144,160,0,4,64,14,0.21875
4,32,48,0,4,64,14,0.21875
5,0,16,0,4,64,14,0.21875
6,80,96,4,8,64,14,0.21875
3,160,176,0,4,64,13,0.203125
5,64,80,0,4,64,13,0.203125
5,112,128,0,4,64,13,0.203125
5,128,144,12,16,64,13,0.203125
3,16,32,0,4,64,12,0.1875
3,32,48,0,4,64,12,0.1875
3,128,144,0,4,64,12,0.1875
4,176,192,0,4,64,12,0.1875
5,176,192,12,16,64,12,0.1875
6,0,16,0,4,64,12,0.1875
6,48,64,12,16,64,12,0.1875
3,176,192,4,8,64,11,0.171875
5,32,48,0,4,64,11,0.171875
5,80,96,0,4,64,11,0.171875
5,128,144,0,4,64,11,0.171875
5,160,176,0,4,64,11,0.171875
5,176,192,0,4,64,11,0.171875
5,176,192,4,8,64,11,0.171875
6,112,128,0,4,64,11,0.171875
6,176,192,4,8,64,11,0.171875
7,16,32,0,4,64,11,0.171875
7,16,32,4,8,64,11,0.171875
5,16,32,4,8,64,10,0.15625
5,112,128,4,8,64,10,0.15625
5,160,176,4,8,64,10,0.15625
6,96,112,12,16,64,10,0.15625
6,128,144,0,4,64,10,0.15625
6,144,160,12,16,64,10,0.15625
6,176,192,8,12,64,10,0.15625
7,0,16,0,4,64,10,0.15625
3,16,32,4,8,64,9,0.140625
4,80,96,8,12,64,9,0.140625
4,112,128,0,4,64,9,0.140625
4,128,144,0,4,64,9,0.140625
4,176,192,8,12,64,9,0.140625
5,0,16,8,12,64,9,0.140625
5,96,112,0,4,64,9,0.140625
5,144,160,8,12,64,9,0.140625
6,16,32,0,4,64,9,0.140625
6,32,48,12,16,64,9,0.140625
6,48,64,0,4,64,9,0.140625
6,80,96,0,4,64,9,0.140625
6,112,128,12,16,64,9,0.140625
7,176,192,4,8,64,9,0.140625
3,0,16,0,4,64,8,0.125
4,144,160,12,16,64,8,0.125
5,0,16,12,16,64,8,0.125
5,16,32,0,4,64,8,0.125
5,32,48,4,8,64,8,0.125
5,48,64,0,4,64,8,0.125
5,80,96,4,8,64,8,0.125
5,96,112,4,8,64,8,0.125
7,80,96,0,4,64,8,0.125
7,128,144,4,8,64,8,0.125
3,64,80,0,4,64,7,0.109375
3,176,192,12,16,64,7,0.109375
4,0,16,0,4,64,7,0.109375
4,48,64,0,4,64,7,0.109375
4,96,112,0,4,64,7,0.109375
5,0,16,4,8,64,7,0.109375
5,32,48,12,16,64,7,0.109375
5,96,112,8,12,64,7,0.109375
5,128,144,4,8,64,7,0.109375
5,128,144,8,12,64,7,0.109375
5,144,160,0,4,64,7,0.109375
6,16,32,4,8,64,7,0.109375
6,64,80,8,12,64,7,0.109375
6,96,112,0,4,64,7,0.109375
6,128,144,12,16,64,7,0.109375
6,160,176,12,16,64,7,0.109375
7,32,48,0,4,64,7,0.109375
3,32,48,4,8,64,6,0.09375
4,16,32,0,4,64,6,0.09375
4,80,96,0,4,64,6,0.09375
4,160,176,0,4,64,6,0.09375
5,16,32,8,12,64,6,0.09375
5,144,160,4,8,64,6,0.09375
5,160,176,8,12,64,6,0.09375
6,0,16,4,8,64,6,0.09375
6,0,16,8,12,64,6,0.09375
6,80,96,8,12,64,6,0.09375
7,48,64,0,4,64,6,0.09375
7,48,64,8,12,64,6,0.09375
7,80,96,4,8,64,6,0.09375
7,80,96,8,12,64,6,0.09375
7,96,112,0,4,64,6,0.09375
7,160,176,0,4,64,6,0.09375
7,160,176,4,8,64,6,0.09375
7,176,192,12,16,64,6,0.09375
3,0,16,4,8,64,5,0.078125
3,80,96,8,12,64,5,0.078125
4,48,64,12,16,64,5,0.078125
4,64,80,12,16,64,5,0.078125
4,160,176,4,8,64,5,0.078125
5,32,48,8,12,64,5,0.078125
5,48,64,8,12,64,5,0.078125
5,64,80,4,8,64,5,0.078125
5,64,80,8,12,64,5,0.078125
5,80,96,8,12,64,5,0.078125
5,80,96,12,16,64,5,0.078125
5,96,112,12,16,64,5,0.078125
6,144,160,8,12,64,5,0.078125
6,160,176,0,4,64,5,0.078125
7,0,16,8,12,64,5,0.078125
7,16,32,12,16,64,5,0.078125
7,64,80,0,4,64,5,0.078125
7,96,112,12,16,64,5,0.078125
7,112,128,4,8,64,5,0.078125
7,176,192,8,12,64,5,0.078125
3,0,16,12,16,64,4,0.0625
3,48,64,4,8,64,4,0.0625
3,80,96,12,16,64,4,0.0625
3,96,112,0,4,64,4,0.0625
3,176,192,8,12,64,4,0.0625
4,0,16,8,12,64,4,0.0625
4,64,80,0,4,64,4,0.0625
4,112,128,4,8,64,4,0.0625
4,176,192,4,8,64,4,0.0625
4,176,192,12,16,64,4,0.0625
5,48,64,4,8,64,4,0.0625
5,48,64,12,16,64,4,0.0625
5,144,160,12,16,64,4,0.0625
5,160,176,12,16,64,4,0.0625
6,32,48,0,4,64,4,0.0625
6,48,64,4,8,64,4,0.0625
6,64,80,4,8,64,4,0.0625
6,80,96,12,16,64,4,0.0625
6,128,144,4,8,64,4,0.0625
6,144,160,0,4,64,4,0.0625
6,160,176,4,8,64,4,0.0625
7,0,16,4,8,64,4,0.0625
7,0,16,12,16,64,4,0.0625
7,32,48,4,8,64,4,0.0625
7,32,48,12,16,64,4,0.0625
7,48,64,4,8,64,4,0.0625
7,48,64,12,16,64,4,0.0625
7,112,128,0,4,64,4,0.0625
7,128,144,12,16,64,4,0.0625
7,144,160,0,4,64,4,0.0625
3,80,96,4,8,64,3,0.046875
3,128,144,8,12,64,3,0.046875
3,128,144,12,16,64,3,0.046875
3,144,160,8,12,64,3,0.046875
4,16,32,4,8,64,3,0.046875
4,32,48,4,8,64,3,0.046875
4,48,64,8,12,64,3,0.046875
4,80,96,4,8,64,3,0.046875
4,96,112,4,8,64,3,0.046875
4,128,144,8,12,64,3,0.046875
4,144,160,0,4,64,3,0.046875
4,144,160,8,12,64,3,0.046875
5,64,80,12,16,64,3,0.046875
5,112,128,8,12,64,3,0.046875
5,112,128,12,16,64,3,0.046875
6,16,32,12,16,64,3,0.046875
6,32,48,8,12,64,3,0.046875
6,48,64,8,12,64,3,0.046875
6,112,128,4,8,64,3,0.046875
6,160,176,8,12,64,3,0.046875
7,96,112,4,8,64,3,0.046875
7,128,144,0,4,64,3,0.046875
7,128,144,8,12,64,3,0.046875
7,144,160,8,12,64,3,0.046875
3,64,80,12,16,64,2,0.03125
3,112,128,4,8,64,2,0.03125
3,128,144,4,8,64,2,0.03125
3,144,160,12,16,64,2,0.03125
3,160,176,4,8,64,2,0.03125
3,160,176,12,16,64,2,0.03125
4,0,16,4,8,64,2,0.03125
4,16,32,8,12,64,2,0.03125
4,48,64,4,8,64,2,0.03125
4,64,80,4,8,64,2,0.03125
4,96,112,8,12,64,2,0.03125
4,96,112,12,16,64,2,0.03125
4,112,128,12,16,64,2,0.03125
4,128,144,12,16,64,2,0.03125
4,160,176,12,16,64,2,0.03125
6,0,16,12,16,64,2,0.03125
6,16,32,8,12,64,2,0.03125
6,32,48,4,8,64,2,0.03125
6,64,80,0,4,64,2,0.03125
6,96,112,8,12,64,2,0.03125
7,16,32,8,12,64,2,0.03125
7,64,80,4,8,64,2,0.03125
7,64,80,12,16,64,2,0.03125
7,80,96,12,16,64,2,0.03125
7,96,112,8,12,64,2,0.03125
7,144,160,12,16,64,2,0.03125
7,160,176,12,16,64,2,0.03125
3,16,32,8,12,64,1,0.015625
3,16,32,12,16,64,1,0.015625
3,48,64,8,12,64,1,0.015625
3,48,64,12,16,64,1,0.015625
3,64,80,8,12,64,1,0.015625
3,96,112,4,8,64,1,0.015625
3,160,176,8,12,64,1,0.015625
4,0,16,12,16,64,1,0.015625
4,32,48,8,12,64,1,0.015625
4,80,96,12,16,64,1,0.015625
4,112,128,8,12,64,1,0.015625
4,128,144,4,8,64,1,0.015625
5,16,32,12,16,64,1,0.015625
6,96,112,4,8,64,1,0.015625
6,112,128,8,12,64,1,0.015625
6,144,160,4,8,64,1,0.015625
7,32,48,8,12,64,1,0.015625
7,64,80,8,12,64,1,0.015625
7,112,128,8,12,64,1,0.015625
7,112,128,12,16,64,1,0.015625
7,160,176,8,12,64,1,0.015625
3,0,16,8,12,64,0,0.0
3,32,48,8,12,64,0,0.0
3,32,48,12,16,64,0,0.0
3,64,80,4,8,64,0,0.0
3,96,112,8,12,64,0,0.0
3,96,112,12,16,64,0,0.0
3,112,128,8,12,64,0,0.0
3,112,128,12,16,64,0,0.0
3,144,160,4,8,64,0,0.0
4,16,32,12,16,64,0,0.0
4,32,48,12,16,64,0,0.0
4,64,80,8,12,64,0,0.0
4,144,160,4,8,64,0,0.0
4,160,176,8,12,64,0,0.0
6,128,144,8,12,64,0,0.0
7,144,160,4,8,64,0,0.0
0,0,16,0,4,0,0,
0,0,16,4,8,0,0,
0,0,16,8,12,0,0,
0,0,16,12,16,0,0,
0,16,32,0,4,0,0,
0,16,32,4,8,0,0,
0,16,32,8,12,0,0,
0,16,32,12,16,0,0,
0,32,48,0,4,0,0,
0,32,48,4,8,0,0,
0,32,48,8,12,0,0,
0,32,48,12,16,0,0,
0,48,64,0,4,0,0,
0,48,64,4,8,0,0,
0,48,64,8,12,0,0,
0,48,64,12,16,0,0,
0,64,80,0,4,0,0,
