time,total,errors,ber
148,80,3,0.03750000149011612
149,80,3,0.03750000149011612
150,80,7,0.08749999850988388
151,80,3,0.03750000149011612
152,80,8,0.10000000149011612
153,80,7,0.08749999850988388
154,80,7,0.08749999850988388
155,80,4,0.05000000074505806
156,80,5,0.0625
157,80,11,0.13750000298023224
158,80,8,0.10000000149011612
159,80,4,0.05000000074505806
160,80,3,0.03750000149011612
161,80,7,0.08749999850988388
162,80,7,0.08749999850988388
163,80,9,0.11249999701976776
164,80,9,0.11249999701976776
165,80,15,0.1875
166,80,15,0.1875
167,80,3,0.03750000149011612
168,80,3,0.03750000149011612
169,80,2,0.02500000037252903
170,80,3,0.03750000149011612
171,80,2,0.02500000037252903
172,80,10,0.125
173,80,4,0.05000000074505806
174,80,3,0.03750000149011612
175,80,1,0.012500000186264515
176,80,11,0.13750000298023224
177,80,6,0.07500000298023224
178,80,13,0.16249999403953552
179,80,14,0.17499999701976776
180,80,17,0.21250000596046448
181,80,5,0.0625
182,80,10,0.125
183,80,3,0.03750000149011612
184,80,5,0.0625
185,80,5,0.0625
186,80,3,0.03750000149011612
187,80,8,0.10000000149011612
188,80,16,0.20000000298023224
189,80,25,0.3125
190,80,34,0.42500001192092896
191,80,31,0.38749998807907104
192,80,36,0.44999998807907104
193,80,35,0.4375
194,80,29,0.36250001192092896
195,80,38,0.4749999940395355
196,80,37,0.4625000059604645
197,80,35,0.4375
198,80,38,0.4749999940395355
199,80,37,0.4625000059604645
200,80,41,0.512499988079071
201,80,34,0.42500001192092896
202,80,35,0.4375
203,80,38,0.4749999940395355
204,80,38,0.4749999940395355
205,80,42,0.5249999761581421
206,80,34,0.42500001192092896
207,80,46,0.574999988079071
208,80,41,0.512499988079071
209,80,35,0.4375
210,80,34,0.42500001192092896
211,80,46,0.574999988079071
212,80,33,0.4124999940395355
213,80,36,0.44999998807907104
214,80,32,0.4000000059604645
215,80,43,0.5375000238418579
216,80,37,0.4625000059604645
217,80,38,0.4749999940395355
218,80,32,0.4000000059604645
219,80,40,0.5
220,80,37,0.4625000059604645
221,80,37,0.4625000059604645
222,80,27,0.3375000059604645
223,80,35,0.4375
224,80,33,0.4124999940395355
225,80,37,0.4625000059604645
226,80,28,0.3499999940395355
227,80,42,0.5249999761581421
228,80,29,0.36250001192092896
229,80,42,0.5249999761581421
230,80,34,0.42500001192092896
231,80,43,0.5375000238418579
232,80,37,0.4625000059604645
233,80,31,0.38749998807907104
234,80,36,0.44999998807907104
235,80,30,0.375
236,80,34,0.42500001192092896
237,80,35,0.4375
238,80,44,0.550000011920929
239,80,42,0.5249999761581421
240,80,35,0.4375
241,80,43,0.5375000238418579
242,80,45,0.5625
243,80,28,0.3499999940395355
244,80,46,0.574999988079071
245,80,29,0.36250001192092896
246,80,37,0.4625000059604645
247,80,43,0.5375000238418579
248,80,30,0.375
249,80,42,0.5249999761581421
250,80,39,0.48750001192092896
251,80,49,0.612500011920929
252,80,31,0.38749998807907104
253,80,40,0.5
254,80,41,0.512499988079071
255,80,45,0.5625
